Título;Ano;Títular;Linguagem;Autores;Campo de Aplicação;Tipo Programa
STRABIMUS;2015;IFPI;C#;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
STRABIMUS;2015;IFPI;SHADER;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
STRABIMUS;2015;IFPI;YAML;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
STRABIMUS;2015;IFPI;JSON;ALEXANDRE TOLSTENKO NOGUEIRA, ARATÂ ANDRADE SARAIVA, AYRTON DE SÁ BRANDIM, FELIPE RESENDE GOMES, FLÁVIO ALVES DOS SANTOS, FRANCISCO MARCELINO ALMEIDA DE ARAÚJO, PABLO HENRIQUE RIBEIRO BEZERRA;IF-02, IN-03, SD-03;AT-01, FA-01, GI-01, GI-04, IT-03
MOBCAPRI;2015;UFPI;JAVA;ANTONIO DE SOUSA JUNIOR, MARIA ACELINA MARTINS DE CARVALHO, SÉRGIO BARROS DE SOUSA;AG-10;AT-01
NEOLO;2015;UFPI;PYTHON;SAULO CUNHA DE SERPA BRANDÃO;CO-03, CO-05, IF-02, IF-10;FA-02, GI-04, IA-03
MEDMAMO;2015;UFPI;C++;BENEDITO BORGES DA SILVA, FRANCISCO ADELTON ALVES RIBEIRO;SD-05, SD-06, SD-08, SD-09;GI-08, IA-01, TC-04
SNETS;2015;UFPI;JAVA;ALEXANDRE CARDOSO FONTINELE, ANDRÉ CASTELO BRANCO SOARES, IALLEN GÁBIO DE SOUSA SANTOS, ÍTALO BARBOSA BRASILEIRO;TC-04;AV-01, SM-01
USESKILL;2015;UFPI;JAVA;CLEITON DOS SANTOS MOURA, MATHEUS DE MENEZES CAMPANHÃ SOUZA, PEDRO ALMIR MARTINS DE OLIVEIRA, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-02, IF-07, IF-10, IN-02;AT-06, FA-01, GI-04
USESKILL;2015;UFPI;JAVASCRIPT;CLEITON DOS SANTOS MOURA, MATHEUS DE MENEZES CAMPANHÃ SOUZA, PEDRO ALMIR MARTINS DE OLIVEIRA, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-02, IF-07, IF-10, IN-02;AT-06, FA-01, GI-04
SELF;2015;UFPI;JAVA;DENISE ALVES DA COSTA, PEDRO ALMIR MARTINS DE OLIVEIRA, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-02, IF-07, IF-10, IN-02;AP-01, DS-06, FA-01, IT-02, TC-01
ATHENA;2015;UFPI;JAVA;MATHEUS DE MENEZES CAMPANHÃ SOUZA, PEDRO ALMIR MARTINS DE OLIVEIRA, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-02, IF-07, IF-10, IN-02;AP-01, DS-01, FA-01, IA-01
ATHENA;2015;UFPI;JAVASCRIPT;MATHEUS DE MENEZES CAMPANHÃ SOUZA, PEDRO ALMIR MARTINS DE OLIVEIRA, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-02, IF-07, IF-10, IN-02;AP-01, DS-01, FA-01, IA-01
UVMP - A&A;2014;UFPI;HTML;EUGÊNIO SOUZA CARVALHO, IVAN SARAIVA SILVA;CO-02, IF-10;DS-01, DS-06, SO-02
UVMP - A&A;2014;UFPI;JAVASCRIPT;EUGÊNIO SOUZA CARVALHO, IVAN SARAIVA SILVA;CO-02, IF-10;DS-01, DS-06, SO-02
UVMP - A&A;2014;UFPI;PHP;EUGÊNIO SOUZA CARVALHO, IVAN SARAIVA SILVA;CO-02, IF-10;DS-01, DS-06, SO-02
SILENCE ZONE;2014;UFPI;OBJECTIVE C;ANDRÉ CASTELO BRANCO SOARES, RONIEL SOARES DE SOUSA, SEBASTIÃO GALEANO PEREIRA FILHO;TC-02;AP-01, UT-01
